"","x"
"path:rno00020 Citrate cycle (TCA cycle) - Rattus norvegicus (rat)",1
"path:rno00051 Fructose and mannose metabolism - Rattus norvegicus (rat)",1
"path:rno00053 Ascorbate and aldarate metabolism - Rattus norvegicus (rat)",1
"path:rno00061 Fatty acid biosynthesis - Rattus norvegicus (rat)",1
"path:rno00140 C21-Steroid hormone metabolism - Rattus norvegicus (rat)",1
"path:rno00190 Oxidative phosphorylation - Rattus norvegicus (rat)",1
"path:rno00251 Glutamate metabolism - Rattus norvegicus (rat)",1
"path:rno00400 Phenylalanine, tyrosine and tryptophan biosynthesis - Rattus norvegicus (rat)",1
"path:rno00401 Novobiocin biosynthesis - Rattus norvegicus (rat)",1
"path:rno00430 Taurine and hypotaurine metabolism - Rattus norvegicus (rat)",1
"path:rno00450 Selenoamino acid metabolism - Rattus norvegicus (rat)",1
"path:rno00530 Aminosugars metabolism - Rattus norvegicus (rat)",1
"path:rno00562 Inositol phosphate metabolism - Rattus norvegicus (rat)",1
"path:rno00601 Glycosphingolipid biosynthesis - lactoseries - Rattus norvegicus (rat)",1
"path:rno00602 Glycosphingolipid biosynthesis - neo-lactoseries - Rattus norvegicus (rat)",1
"path:rno00640 Propanoate metabolism - Rattus norvegicus (rat)",1
"path:rno00650 Butanoate metabolism - Rattus norvegicus (rat)",1
"path:rno00740 Riboflavin metabolism - Rattus norvegicus (rat)",1
"path:rno00760 Nicotinate and nicotinamide metabolism - Rattus norvegicus (rat)",1
"path:rno00770 Pantothenate and CoA biosynthesis - Rattus norvegicus (rat)",1
"path:rno00790 Folate biosynthesis - Rattus norvegicus (rat)",1
"path:rno00950 Alkaloid biosynthesis I - Rattus norvegicus (rat)",1
"path:rno01031 Glycan structures - biosynthesis 2 - Rattus norvegicus (rat)",1
"path:rno03410 Base excision repair - Rattus norvegicus (rat)",1
"path:rno04012 ErbB signaling pathway - Rattus norvegicus (rat)",1
"path:rno04115 p53 signaling pathway - Rattus norvegicus (rat)",1
"path:rno04662 B cell receptor signaling pathway - Rattus norvegicus (rat)",1
"path:rno04710 Circadian rhythm - Rattus norvegicus (rat)",1
"path:rno04916 Melanogenesis - Rattus norvegicus (rat)",1
"path:rno05211 Renal cell carcinoma - Rattus norvegicus (rat)",1
"path:rno00040 Pentose and glucuronate interconversions - Rattus norvegicus (rat)",2
"path:rno00052 Galactose metabolism - Rattus norvegicus (rat)",2
"path:rno00220 Urea cycle and metabolism of amino groups - Rattus norvegicus (rat)",2
"path:rno00230 Purine metabolism - Rattus norvegicus (rat)",2
"path:rno00271 Methionine metabolism - Rattus norvegicus (rat)",2
"path:rno00330 Arginine and proline metabolism - Rattus norvegicus (rat)",2
"path:rno00340 Histidine metabolism - Rattus norvegicus (rat)",2
"path:rno00380 Tryptophan metabolism - Rattus norvegicus (rat)",2
"path:rno00410 beta-Alanine metabolism - Rattus norvegicus (rat)",2
"path:rno00521 Streptomycin biosynthesis - Rattus norvegicus (rat)",2
"path:rno00620 Pyruvate metabolism - Rattus norvegicus (rat)",2
"path:rno00860 Porphyrin and chlorophyll metabolism - Rattus norvegicus (rat)",2
"path:rno00920 Sulfur metabolism - Rattus norvegicus (rat)",2
"path:rno04130 SNARE interactions in vesicular transport - Rattus norvegicus (rat)",2
"path:rno04340 Hedgehog signaling pathway - Rattus norvegicus (rat)",2
"path:rno04512 ECM-receptor interaction - Rattus norvegicus (rat)",2
"path:rno04520 Adherens junction - Rattus norvegicus (rat)",2
"path:rno05210 Colorectal cancer - Rattus norvegicus (rat)",2
"path:rno05212 Pancreatic cancer - Rattus norvegicus (rat)",2
"path:rno05220 Chronic myeloid leukemia - Rattus norvegicus (rat)",2
"path:rno05221 Acute myeloid leukemia - Rattus norvegicus (rat)",2
"path:rno00071 Fatty acid metabolism - Rattus norvegicus (rat)",3
"path:rno00120 Bile acid biosynthesis - Rattus norvegicus (rat)",3
"path:rno00252 Alanine and aspartate metabolism - Rattus norvegicus (rat)",3
"path:rno00260 Glycine, serine and threonine metabolism - Rattus norvegicus (rat)",3
"path:rno00360 Phenylalanine metabolism - Rattus norvegicus (rat)",3
"path:rno00561 Glycerolipid metabolism - Rattus norvegicus (rat)",3
"path:rno00564 Glycerophospholipid metabolism - Rattus norvegicus (rat)",3
"path:rno00565 Ether lipid metabolism - Rattus norvegicus (rat)",3
"path:rno00592 alpha-Linolenic acid metabolism - Rattus norvegicus (rat)",3
"path:rno00624 1- and 2-Methylnaphthalene degradation - Rattus norvegicus (rat)",3
"path:rno00641 3-Chloroacrylic acid degradation - Rattus norvegicus (rat)",3
"path:rno00983 Drug metabolism - other enzymes - Rattus norvegicus (rat)",3
"path:rno04110 Cell cycle - Rattus norvegicus (rat)",3
"path:rno04360 Axon guidance - Rattus norvegicus (rat)",3
"path:rno04910 Insulin signaling pathway - Rattus norvegicus (rat)",3
"path:rno05010 Alzheimer's disease - Rattus norvegicus (rat)",3
"path:rno05217 Basal cell carcinoma - Rattus norvegicus (rat)",3
"path:rno00960 Alkaloid biosynthesis II - Rattus norvegicus (rat)",4
"path:rno04930 Type II diabetes mellitus - Rattus norvegicus (rat)",4
"path:rno05222 Small cell lung cancer - Rattus norvegicus (rat)",4
"path:rno00150 Androgen and estrogen metabolism - Rattus norvegicus (rat)",5
"path:rno00500 Starch and sucrose metabolism - Rattus norvegicus (rat)",5
"path:rno04742 Taste transduction - Rattus norvegicus (rat)",5
"path:rno04912 GnRH signaling pathway - Rattus norvegicus (rat)",5
"path:rno05218 Melanoma - Rattus norvegicus (rat)",5
"path:rno00010 Glycolysis / Gluconeogenesis - Rattus norvegicus (rat)",6
"path:rno00350 Tyrosine metabolism - Rattus norvegicus (rat)",6
"path:rno04310 Wnt signaling pathway - Rattus norvegicus (rat)",6
"path:rno04370 VEGF signaling pathway - Rattus norvegicus (rat)",6
"path:rno04614 Renin-angiotensin system - Rattus norvegicus (rat)",6
"path:rno04664 Fc epsilon RI signaling pathway - Rattus norvegicus (rat)",6
