"","x"
"Aadac",1
"Acox2",1
"Adrbk2",1
"Atp4b",1
"Avpr2",1
"Blr1",1
"Cd5",1
"Cdkn1c",1
"Cfb",1
"Clca2",1
"Clock",1
"Cma1",1
"Cpb2",1
"Cx3cl1",1
"Cxcl14",1
"Cxcl7",1
"Cxcr3",1
"Cybb",1
"Dhrs9",1
"Dsc2",1
"Epha3",1
"Ereg",1
"F10",1
"Fabp1",1
"Fabp2",1
"Fabp4",1
"Fabp6",1
"Fabp7",1
"Fcer2a",1
"Gabra1",1
"Gabra5",1
"Gabre",1
"Gch",1
"Gjb2",1
"Gjb6",1
"Glp1r",1
"Glra1",1
"Glra3",1
"Glycam1",1
"Gpr35",1
"Gpr83",1
"Hist1h2ba",1
"Hnf4a",1
"Iapp",1
"Il13ra2",1
"Il24",1
"Inhba",1
"Inhbc",1
"Irak2",1
"Ka11",1
"Kb36",1
"Kir3dl1",1
"Klkb1",1
"Klrk1",1
"Kng1",1
"Krt1-18",1
"Kynu",1
"Lbp",1
"Llgl1",1
"LMO7",1
"LOC286960",1
"Madcam1",1
"Masp2",1
"Myh3",1
"Neil1",1
"Neurog3",1
"Nlgn1",1
"Nmur2",1
"Npy1r",1
"Nr5a2",1
"Olr1078",1
"Olr1696",1
"Pnliprp2",1
"Pon3",1
"Ptgds",1
"Ptpn5",1
"Scnn1a",1
"Sell",1
"Stat4",1
"Taar7g",1
"Taar8a",1
"Tas2r123",1
"Tas2r16",1
"Tcf1",1
"Thrb",1
"Tnnc2",1
"Uts2r",1
"Aldh1a2",2
"Anpep",2
"Arg1",2
"C2",2
"C3",2
"C9",2
"Cacng5",2
"Cckbr",2
"Ccl5",2
"Ces3",2
"Crhr2",2
"Cxcl11",2
"Cyp11b3",2
"Cyp2d26",2
"Fcgr3a",2
"Fgb",2
"Fmo2",2
"Fmo3",2
"Gh1",2
"Gja6",2
"Gp9",2
"Grm6",2
"Hrh2",2
"Il2rb",2
"Lhcgr",2
"Lipg",2
"Masp1",2
"Mat1a",2
"Miox",2
"Mmp7",2
"Olr1085",2
"Oprm1",2
"Osm",2
"Ptgis",2
"Scin",2
"Tas2r105",2
"Tnfrsf1b",2
"Tshb",2
"Ucp1",2
"Vamp2",2
"Zbtb16",2
"Cd3d",3
"Cga",3
"Chrm1",3
"Cldn11",3
"Cldn4",3
"Cldn9",3
"Col2a1",3
"Csf2rb1",3
"Drd1a",3
"Fgf3",3
"Fgf5",3
"Gadd45a",3
"Ggta1",3
"Gria2",3
"Gucy1b2",3
"Htr2a",3
"Il2rg",3
"Klrc3",3
"Klrd1",3
"Mmp2",3
"Ocln",3
"Prkg2",3
"Prlr",3
"Zap70",3
"Agxt",4
"Cyp2e1",4
"Fzd2",4
"Hgf",4
"Itgam",4
"Mylpf",4
"Nos2",4
"Sult2a1",4
"Acacb",5
"Cd8a",5
"Cd8b",5
"Cyp2c13",5
"Enpp3",5
"Grm5",5
"Gzmb",5
"Pck1",5
"Prf1",5
"Slc1a2",5
"Aldh3a1",6
"Bmp4",6
"Cldn1",6
"Fgf2",6
"Gad1",6
"Gria1",6
"Hk3",6
"Ptgs2",6
"Rock2",6
"RT1-A3",6
"RT1-Aw2",6
"Tat",6
"Bcl2l1",7
"Gck",7
"Smad3",7
"Abp1",8
"Agtr2",8
"Cd40lg",8
"RT1-DOb",8
"Ugt2a1",8
"Ugt2b",8
"Adh4",9
"Grin2c",9
"Cyp2c7",10
"Grm1",10
"Npy",10
"Pla2g4a",10
"Ppp3r2",10
"Cav",11
"Lep",12
"Il10",14
"Epo",15
"RT1-Ba",16
"RT1-Bb",16
"Adh1",18
"RT1-Da",18
"RT1-Db1",18
"Avpr1a",20
"Pla2g2a",20
"Mmp9",30
"Gfap",32
"Il6",48
"Tnf",54
"Ifng",90
