ProbeID	ESJ1	isp2	ESJ1	isp2
1415670_at	2178	2367.5	P	P
1415671_at	3219.6	3573.7	P	P
1415672_at	8089.9	6097.2	P	P
1415673_at	2517.7	3257	P	P
1415674_a_at	2277.6	1938.9	P	P
1415675_at	983.9	692.9	P	P
1415676_a_at	7616.7	6704.8	P	P
1415677_at	505.2	606.9	P	P
1415678_at	3301	3304.7	P	P
1415679_at	4172.4	3311	P	P
1415680_at	2129.5	1640.9	P	P
1415681_at	1871.2	1789.4	P	P
1415682_at	1274.5	1907.3	P	P
1415683_at	6301.3	4706	P	P
1415684_at	847.4	1155.8	P	P
1415685_at	1438.2	1761.6	P	P
1415686_at	1145.1	1735.3	P	P
1415687_a_at	2403.6	3992.7	P	P
1415688_at	4304.1	3724	P	P
1415689_s_at	325	446.3	P	P
1415690_at	2968.5	2378.3	P	P
1415691_at	2367.5	2190.5	P	P
1415692_s_at	9222.5	9215.5	P	P
1415693_at	710.1	1000.2	P	P
1415694_at	1037.4	1261.4	P	P
1415695_at	9761.5	8177.3	P	P
1415696_at	2168.1	1835.4	P	P
1415697_at	6708.9	6968.1	P	P
1415698_at	1471.3	1863.1	P	P
1415699_a_at	3940.4	2857.8	P	P
1415700_a_at	5205.9	5307.3	P	P
1415701_x_at	24904.9	24424.8	P	P
1415702_a_at	2871	2932.2	P	P
1415703_at	3715.1	3372.8	P	P
1415704_a_at	7852	6674.4	P	P
1415705_at	1120.1	670.6	P	P
1415706_at	4267.7	4367.9	P	P
1415707_at	1679.4	1091.1	P	P
1415708_at	1440	2847.1	P	P
1415709_s_at	441.5	523.3	P	P
1415710_at	1791.4	1662.5	P	P
1415711_at	1212.7	1022.2	P	P
1415712_at	340.8	565.4	P	P
1415713_a_at	1669	1185.2	P	P
1415714_a_at	5938	5419.8	P	P
1415715_at	247.8	191.8	P	P
1415716_a_at	18348.7	18050.1	P	P
1415717_at	1514.7	1875.1	P	P
1415718_at	1204.8	966	P	P
1415719_s_at	2103.6	2208.3	P	P
1415720_s_at	640	547.6	P	P
1415721_a_at	505	602.5	P	P
1415722_a_at	2926.3	2174.7	P	P
1415723_at	4584.2	5755.6	P	P
1415724_a_at	7207.9	6076.7	P	P
1415725_at	1501.1	2026.3	P	P
1415726_at	2531	2207.9	P	P
1415727_at	1532.2	1712.9	P	P
1415728_at	2138.6	1446	P	P
1415729_at	2290.9	1962.7	P	P
1415730_at	1600.4	1790.9	P	P
1415731_at	515.3	699	P	P
1415732_at	570.2	524.9	P	P
1415733_a_at	5513.4	5517.5	P	P
1415734_at	5693.7	4120.4	P	P
1415735_at	4466	6168.9	P	P
1415736_at	3873.9	2267.9	P	P
1415737_at	935.4	694.9	P	P
1415738_at	3440.5	2817.5	P	P
1415739_at	1618.6	2189.8	P	P
1415740_at	4716.9	4785	P	P
1415741_at	4124.1	4023.8	P	P
1415742_at	431.3	583.9	P	P
1415743_at	621.7	750.1	P	P
1415744_at	5971	4609.4	P	P
1415745_a_at	1377.5	1656	P	P
1415746_at	581.7	1347.4	P	P
1415747_s_at	1602.6	2766.2	P	P
1415748_a_at	1072.9	1784.4	P	P
1415749_a_at	1526.9	1726.3	P	P
1415750_at	1312.6	1583.1	P	P
1415751_at	768.1	893.3	P	P
1415752_at	2849.2	2807.6	P	P
1415753_at	1839.9	1856.2	P	P
1415754_at	4826.1	3931.6	P	P
1415755_a_at	5054.6	3350.6	P	P
1415756_a_at	1084.8	1396.1	P	P
1415757_at	397.3	638.3	P	P
1415758_at	669.9	649.5	P	P
1415759_a_at	3402.4	2455.2	P	P
1415760_s_at	4236.8	3248.7	P	P
1415761_at	1743	1392.3	P	P
1415762_x_at	1899.7	1605.4	P	P
1415763_a_at	1668.8	2003.8	P	P
1415764_at	3795	4707.6	P	P
1415765_at	896.9	1485.7	P	P
1415766_at	362.5	460.1	P	P
1415767_at	3663.1	5337.7	P	P
1415768_a_at	796.2	1473.4	P	P
1415769_at	1268.5	670.5	P	P
1415770_at	1312.4	891.3	P	P
1415771_at	22204.2	22587	P	P
1415772_at	1516	1450.5	P	P
1415773_at	15165.6	15941.3	P	P
1415774_at	991.5	1163.8	P	P
1415775_at	15604.9	12329.1	P	P
1415776_at	360.8	350.7	P	P
1415777_at	29	1.3	A	A
1415778_at	14705.5	13557.8	P	P
1415779_s_at	27463.2	23505.2	P	P
1415780_a_at	1563.6	1171.2	P	P
1415781_a_at	25793.4	22951.4	P	P
1415782_at	15630.2	15434.1	P	P
1415783_at	10355.2	8505.3	P	P
1415784_at	2756.2	2005.2	P	P
1415785_a_at	10895.4	10331.5	P	P
1415786_at	9.1	95.8	A	P
1415787_at	1066.3	1914.8	P	P
1415788_at	3162.6	2786.1	P	P
1415789_a_at	1022.1	779.4	P	P
1415790_at	1187.3	803.4	P	P
1415791_at	2146.2	1501.4	P	P
1415792_at	761.9	1315.8	P	P
1415793_at	1300.5	1334.4	P	P
1415794_a_at	3431.8	2820.3	P	P
1415795_at	775.9	921.9	P	P
1415796_at	2578.6	1837.2	P	P
1415797_at	308	547.8	P	P
1415798_at	94.5	292.1	A	P
1415799_at	4257.4	4932.9	P	P
1415800_at	8004.7	10505.4	P	P
1415801_at	1951.6	2302.2	P	P
1415802_at	6913	5654.7	P	P
1415803_at	96	95.6	P	P
1415804_at	45.7	54.3	A	A
1415805_at	73.7	67.2	A	P
1415806_at	185.8	124.6	A	P
1415807_s_at	7022.3	3559.8	P	P
1415808_at	13.8	12.6	A	A
1415809_at	1.8	17.2	A	A
1415810_at	4368.6	5195.8	P	P
1415811_at	1666.5	2949.9	P	P
1415812_at	1077.1	730.1	P	P
1415813_at	4349.7	3638.2	P	P
1415814_at	5196.5	3929.3	P	P
1415815_at	29.1	33	A	A
1415816_at	13666.6	12877.9	P	P
1415817_s_at	7401.3	7322.1	P	P
1415818_at	900	941.4	P	P
1415819_a_at	4007	5290.9	P	P
1415820_x_at	7955.8	8146	P	P
1415821_at	3591.8	3583.7	P	P
1415822_at	12908.9	7533.9	P	P
1415823_at	3958.6	3352.6	P	P
1415824_at	817.3	1046.6	P	P
1415825_s_at	734.3	1493.1	P	P
1415826_at	1712.4	2504.4	P	P
1415827_a_at	2905.5	2050.6	P	P
1415828_a_at	4038.3	2644.7	P	P
1415829_at	8437.4	8163.9	P	P
1415830_at	2918.2	3565.9	P	P
1415831_at	7022.9	6800.9	P	P
1415832_at	71.9	2.5	P	A
1415833_x_at	24407	24779.5	P	P
1415834_at	2342.6	3027.3	P	P
1415835_at	15.8	10.6	A	A
1415836_at	713	1980.7	P	P
1415837_at	105.4	103.1	P	P
1415838_at	2605.3	2282.1	P	P
1415839_a_at	28760.5	28282.7	P	P
1415840_at	4433	4497.2	P	P
1415841_at	2929.4	2276.1	P	P
1415842_at	249.5	408.8	P	P
1415843_at	159.2	341.1	P	P
1415844_at	50.6	91.9	A	A
1415845_at	60.2	148.8	A	P
1415846_a_at	54.3	97.2	P	P
1415847_at	85.5	177.5	A	P
1415848_at	115.4	67.5	A	A
1415849_s_at	13617	9741.5	P	P
1415850_at	185.2	246.2	A	M
1415851_a_at	11014	9179.9	P	P
1415852_at	11017.6	11050.7	P	P
1415853_at	732.1	1961.3	P	P
1415854_at	35.1	26.6	A	P
1415855_at	244.6	107.1	P	P
1415856_at	4380.1	3299.7	P	P
1415857_at	8102.4	6583.5	P	P
1415858_at	11035.3	11567	P	P
1415859_at	4269	4237.5	P	P
1415860_at	16165	12664.6	P	P
1415861_at	6	1.7	A	A
1415862_at	32.9	18	P	A
1415863_at	11123.6	12234	P	P
1415864_at	479.3	442.6	P	P
1415865_s_at	610.4	442.6	P	P
1415866_at	243.5	271.2	P	P
1415867_at	15719.4	14248	P	P
1415868_at	106.6	190.8	A	P
1415869_a_at	12413.4	15085.7	P	P
1415870_at	2693.3	2969.8	P	P
1415871_at	49.7	62.6	P	P
1415872_at	8883	9843.6	P	P
1415873_a_at	1802.7	1614.1	P	P
1415874_at	1038.1	696.2	P	P
1415875_at	215.1	30.7	P	A
1415876_a_at	19848.5	18736	P	P
1415877_at	268.1	310.7	P	P
1415878_at	4563.7	3859.5	P	P
1415879_a_at	27052.5	28467.2	P	P
1415880_a_at	6988.1	7327	P	P
1415881_at	1897.5	4724.9	P	P
1415882_at	2981.1	8270.5	P	P
1415883_a_at	8.5	4.2	A	A
1415884_at	187.5	126.7	M	A
1415885_at	10.3	8.7	A	A
1415886_at	107.9	194.5	P	P
1415887_at	4672.2	4324.3	P	P
1415888_at	2977.7	6564.3	P	P
1415889_a_at	9255.2	8792.4	P	P
1415890_at	716.5	702.1	P	P
1415891_at	4131.6	4379.3	P	P
1415892_at	675.5	1352.6	P	P
1415893_at	236.1	887	P	P
1415894_at	286	137.7	P	P
1415895_at	11577	6356.1	P	P
1415896_x_at	6465.9	4237.6	P	P
1415897_a_at	861.5	482.8	P	P
1415898_at	4.6	10.7	A	A
1415899_at	790.7	696.8	P	P
1415900_a_at	236	394	A	P
1415901_at	944.4	1090.7	A	P
